hotel_name,url,locality,reviews,tripadvisor_rating,price_per_night,booking_provider,no_of_deals,hotel_features
The Nadler Victoria,http://www.tripadvisor.com/Hotel_Review-g186338-d8625676-Reviews-The_Nadler_Victoria-London_England.html,"London, England, United Kingdom",1638 ,5.0,$147,Expedia.com,10,"Free Wifi,Visit hotel website"
Crowne Plaza London Kensington,http://www.tripadvisor.com/Hotel_Review-g186338-d195198-Reviews-Crowne_Plaza_London_Kensington-London_England.html,"London, England, United Kingdom",3095 ,4.5,$165,Booking.com,15,"Free Wifi,Restaurant,Visit hotel website"
The Chesterfield Mayfair,http://www.tripadvisor.com/Hotel_Review-g186338-d192064-Reviews-The_Chesterfield_Mayfair-London_England.html,"London, England, United Kingdom",4085 ,5.0,$346,Chesterfield,14,"Free Wifi,Restaurant,Visit hotel website"
The Nadler Kensington,http://www.tripadvisor.com/Hotel_Review-g186338-d189735-Reviews-The_Nadler_Kensington-London_England.html,"London, England, United Kingdom",4219 ,4.5,$134,Booking.com,11,"Free Wifi,Visit hotel website"
The Royal Horseguards,http://www.tripadvisor.com/Hotel_Review-g186338-d193079-Reviews-The_Royal_Horseguards-London_England.html,"London, England, United Kingdom",5593 ,4.5,$251,Booking.com,18,"Free Wifi,Restaurant,Visit hotel website"
Citadines Trafalgar Square London,http://www.tripadvisor.com/Hotel_Review-g186338-d193043-Reviews-Citadines_Trafalgar_Square_London-London_England.html,"London, England, United Kingdom",2739 ,4.0,$164,Booking.com,16,"Free Wifi,Visit hotel website"
Hotel 41,http://www.tripadvisor.com/Hotel_Review-g186338-d188961-Reviews-Hotel_41-London_England.html,"London, England, United Kingdom",3212 ,5.0,$396,Hotel 41,11,"Free Wifi,Room service,Visit hotel website"
Palmers Lodge - Swiss Cottage,http://www.tripadvisor.com/Hotel_Review-g186338-d612985-Reviews-Palmers_Lodge_Swiss_Cottage-London_England.html,"London, England, United Kingdom",1796 ,4.0,$46,Booking.com,11,"Free Wifi,Restaurant,Visit hotel website"
Sea Containers London,http://www.tripadvisor.com/Hotel_Review-g186338-d6161763-Reviews-Sea_Containers_London-London_England.html,"London, England, United Kingdom",4589 ,4.5,$160,Preferred Hotels,17,"Free Wifi,Restaurant"
The Darlington Hyde Park,http://www.tripadvisor.com/Hotel_Review-g186338-d214639-Reviews-The_Darlington_Hyde_Park-London_England.html,"London, England, United Kingdom",2388 ,4.5,$128,Booking.com,14,"Free Wifi,Breakfast included,Visit hotel website"
"St. James' Court, A Taj Hotel",http://www.tripadvisor.com/Hotel_Review-g186338-d265539-Reviews-St_James_Court_A_Taj_Hotel-London_England.html,"London, England, United Kingdom",4473 ,4.5,$193,Booking.com,16,"Free Wifi,Restaurant,Visit hotel website"
Park Plaza London Waterloo,http://www.tripadvisor.com/Hotel_Review-g186338-d10340857-Reviews-Park_Plaza_London_Waterloo-London_England.html,"London, England, United Kingdom",2794 ,4.5,$145,Expedia.com,14,"Free Wifi,Pool,Visit hotel website"
Holiday Inn Express London - Golders Green North,http://www.tripadvisor.com/Hotel_Review-g186338-d670916-Reviews-Holiday_Inn_Express_London_Golders_Green_North-London_England.html,"London, England, United Kingdom",610 ,3.5,$97,HIExpress.com,15,"Free Wifi,Free parking,Visit hotel website"
The Nadler Soho,http://www.tripadvisor.com/Hotel_Review-g186338-d4062677-Reviews-The_Nadler_Soho-London_England.html,"London, England, United Kingdom",2733 ,5.0,$201,Expedia.com,11,"Free Wifi,Visit hotel website"
Park Plaza County Hall London,http://www.tripadvisor.com/Hotel_Review-g186338-d672863-Reviews-Park_Plaza_County_Hall_London-London_England.html,"London, England, United Kingdom",8649 ,4.5,$164,Booking.com,19,"Free Wifi,Restaurant,Visit hotel website"
Novotel London Excel,http://www.tripadvisor.com/Hotel_Review-g186338-d291617-Reviews-Novotel_London_Excel-London_England.html,"London, England, United Kingdom",2669 ,4.0,$84,Booking.com,15,"Free Wifi,Restaurant,Visit hotel website"
"The May Fair Hotel, Mayfair",http://www.tripadvisor.com/Hotel_Review-g186338-d187735-Reviews-The_May_Fair_Hotel_Mayfair-London_England.html,"London, England, United Kingdom",5488 ,4.0,$246,Expedia.com,18,"Free Wifi,Restaurant"
Radisson Blu Edwardian Mercer Street Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d192034-Reviews-Radisson_Blu_Edwardian_Mercer_Street_Hotel-London_England.html,"London, England, United Kingdom",3733 ,4.5,$168,Booking.com,16,"Free Wifi,Restaurant"
The Nadler Covent Garden,http://www.tripadvisor.com/Hotel_Review-g186338-d15134890-Reviews-The_Nadler_Covent_Garden-London_England.html,"London, England, United Kingdom",97 ,5.0,$197,Expedia.com,10,"Free Wifi,Visit hotel website"
